;ano;sigla_uf;id_municipio;populacao
560;2021;MA;2106359;7757
561;2021;MA;2106375;16754
562;2021;MA;2106409;17122
563;2021;MA;2106508;23591
564;2021;MA;2106607;34099
565;2021;MA;2106631;17316
566;2021;MA;2106672;8502
567;2021;MA;2106706;21045
568;2021;MA;2106755;29121
569;2021;MA;2106805;15059
570;2021;MA;2106904;33888
571;2021;MA;2107001;9064
572;2021;MA;2107100;19708
573;2021;MA;2107209;14826
574;2021;MA;2107258;5469
575;2021;MA;2107308;4682
576;2021;MA;2107357;21228
577;2021;MA;2107407;19616
578;2021;MA;2107456;14968
579;2021;MA;2107506;125265
580;2021;MA;2107605;19840
581;2021;MA;2107704;21571
582;2021;MA;2107803;35108
583;2021;MA;2107902;19253
584;2021;MA;2108009;19693
585;2021;MA;2108058;16295
586;2021;MA;2108108;21092
587;2021;MA;2108207;39153
588;2021;MA;2108256;25560
589;2021;MA;2108306;38987
590;2021;MA;2108405;14371
591;2021;MA;2108454;23530
592;2021;MA;2108504;33186
593;2021;MA;2108603;84160
594;2021;MA;2108702;21274
595;2021;MA;2108801;18814
596;2021;MA;2108900;17321
597;2021;MA;2109007;24294
598;2021;MA;2109056;5936
599;2021;MA;2109106;48264
600;2021;MA;2109205;12939
601;2021;MA;2109239;7124
602;2021;MA;2109270;19217
603;2021;MA;2109304;11328
604;2021;MA;2109403;15545
605;2021;MA;2109452;31586
606;2021;MA;2109502;20288
607;2021;MA;2109551;7859
608;2021;MA;2109601;43243
609;2021;MA;2109700;5686
610;2021;MA;2109759;7878
611;2021;MA;2109809;42829
612;2021;MA;2109908;89927
613;2021;MA;2110005;73105
614;2021;MA;2110039;25487
615;2021;MA;2110104;25884
616;2021;MA;2110203;38732
617;2021;MA;2110237;13704
618;2021;MA;2110278;16219
619;2021;MA;2110302;14516
620;2021;MA;2110401;18769
621;2021;MA;2110500;45989
622;2021;MA;2110609;28825
623;2021;MA;2110658;7448
624;2021;MA;2110708;34391
625;2021;MA;2110807;4540
626;2021;MA;2110856;12082
627;2021;MA;2110906;12226
628;2021;MA;2111003;20736
629;2021;MA;2111029;15768
630;2021;MA;2111052;11207
631;2021;MA;2111078;18746
632;2021;MA;2111102;26063
633;2021;MA;2111201;180345
634;2021;MA;2111250;7639
635;2021;MA;2111300;1115932
636;2021;MA;2111409;18600
637;2021;MA;2111508;41750
638;2021;MA;2111532;12779
639;2021;MA;2111573;4700
640;2021;MA;2111607;19090
641;2021;MA;2111631;5028
642;2021;MA;2111672;6856
643;2021;MA;2111706;22452
644;2021;MA;2111722;14274
645;2021;MA;2111748;11285
646;2021;MA;2111763;13981
647;2021;MA;2111789;10343
648;2021;MA;2111805;18237
649;2021;MA;2111904;10631
650;2021;MA;2111953;5692
651;2021;MA;2112001;8642
652;2021;MA;2112100;29241
653;2021;MA;2112209;171317
654;2021;MA;2112233;22223
655;2021;MA;2112274;5868
656;2021;MA;2112308;42242
657;2021;MA;2112407;35811
658;2021;MA;2112456;26112
659;2021;MA;2112506;59927
660;2021;MA;2112605;33791
661;2021;MA;2112704;57813
662;2021;MA;2112803;52852
663;2021;MA;2112852;13800
664;2021;MA;2112902;32956
665;2021;MA;2113009;31520
666;2021;MA;2114007;52190
